año,Estacion,semana epidemiologica,"AVERAGE de Temp, M","AVERAGE de Temp, m",AVERAGE de Precip,AVERAGE de Hum
2022,BENITO JUÁREZ_Buenos Aires,24,"12,46","2,13","0,00","73,14"
2022,BENITO JUÁREZ_Buenos Aires,25,"8,66","-3,20","0,07","80,00"
2022,BENITO JUÁREZ_Buenos Aires,26,"13,67","1,94","0,29","69,71"
2022,BENITO JUÁREZ_Buenos Aires,27,"12,84","2,43","0,00","67,43"
2022,BENITO JUÁREZ_Buenos Aires,28,"11,66","1,64","0,53","77,86"
2022,BENITO JUÁREZ_Buenos Aires,29,"13,40","1,43","0,00","71,29"
2022,BENITO JUÁREZ_Buenos Aires,30,"15,67","5,69","8,43","83,00"
2022,BENITO JUÁREZ_Buenos Aires,31,"12,39","2,40","0,11","82,00"
2022,BENITO JUÁREZ_Buenos Aires,32,"16,17","3,19","3,14","73,57"
2022,BENITO JUÁREZ_Buenos Aires,33,"14,14","2,77","0,04","65,00"
2022,BENITO JUÁREZ_Buenos Aires,34,"16,99","2,77","0,43","64,43"
2022,BENITO JUÁREZ_Buenos Aires,35,"19,16","3,54","0,00","58,57"
2022,BENITO JUÁREZ_Buenos Aires,36,"18,40","3,24","0,07","60,86"
2022,BENITO JUÁREZ_Buenos Aires,37,"21,03","6,80","0,43","62,71"
2022,BENITO JUÁREZ_Buenos Aires,38,"17,63","4,79","0,43","64,43"
2022,BENITO JUÁREZ_Buenos Aires,39,"20,70","3,34","0,00","54,14"
2022,BENITO JUÁREZ_Buenos Aires,40,"19,66","5,19","0,86","61,57"
2022,BENITO JUÁREZ_Buenos Aires,41,"20,41","3,51","0,00","47,43"
2022,BENITO JUÁREZ_Buenos Aires,42,"20,97","6,60","1,14","65,71"
2022,BENITO JUÁREZ_Buenos Aires,43,"20,99","10,84","9,49","73,57"
2022,BENITO JUÁREZ_Buenos Aires,44,"23,49","7,47","0,00","56,57"
2022,BENITO JUÁREZ_Buenos Aires,45,"25,59","11,67","8,14","64,00"
2022,BENITO JUÁREZ_Buenos Aires,46,"25,34","13,37","4,00","74,29"
2022,BENITO JUÁREZ_Buenos Aires,47,"25,30","11,56","0,71","63,43"
2022,BENITO JUÁREZ_Buenos Aires,48,"28,07","13,46","1,86","60,43"
2022,BENITO JUÁREZ_Buenos Aires,49,"33,11","16,17","0,23","44,57"
2022,BENITO JUÁREZ_Buenos Aires,50,"27,76","10,39","0,79","47,57"
2022,BENITO JUÁREZ_Buenos Aires,51,"28,94","13,94","0,97","55,00"
2022,BENITO JUÁREZ_Buenos Aires,52,"32,15","12,64","1,00","44,38"
2022,BOLÍVAR_Buenos Aires,1,"30,59","14,34","0,00","50,86"
2022,BOLÍVAR_Buenos Aires,2,"37,60","18,36","1,43","48,86"
2022,BOLÍVAR_Buenos Aires,3,"24,04","16,10","21,03","88,43"
2022,BOLÍVAR_Buenos Aires,4,"28,96","15,84","0,00","66,86"
2022,BOLÍVAR_Buenos Aires,5,"26,97","14,39","4,86","68,43"
2022,BOLÍVAR_Buenos Aires,6,"25,91","12,39","0,08","68,14"
2022,BOLÍVAR_Buenos Aires,7,"28,80","13,71","1,49","66,43"
2022,BOLÍVAR_Buenos Aires,8,"26,66","15,36","10,57","76,86"
2022,BOLÍVAR_Buenos Aires,9,"27,69","13,59","5,43","67,71"
2022,BOLÍVAR_Buenos Aires,10,"25,51","11,53","0,13","70,14"
2022,BOLÍVAR_Buenos Aires,11,"25,50","12,00","0,00","69,71"
2022,BOLÍVAR_Buenos Aires,12,"22,97","12,03","9,90","79,00"
2022,BOLÍVAR_Buenos Aires,13,"21,17","7,23","0,43","62,14"
2022,BOLÍVAR_Buenos Aires,14,"24,94","10,13","16,80","76,86"
2022,BOLÍVAR_Buenos Aires,15,"20,94","7,20","0,00","72,00"
2022,BOLÍVAR_Buenos Aires,16,"21,96","8,89","1,86","71,29"
2022,BOLÍVAR_Buenos Aires,17,"17,34","5,57","4,43","66,43"
2022,BOLÍVAR_Buenos Aires,18,"20,91","6,10","0,00","74,86"
2022,BOLÍVAR_Buenos Aires,19,"17,60","6,50","0,00","73,29"
2022,BOLÍVAR_Buenos Aires,20,"16,70","3,60","0,00","71,00"
2022,BOLÍVAR_Buenos Aires,21,"13,51","4,00","0,29","74,71"
2022,BOLÍVAR_Buenos Aires,22,"12,81","-2,47","0,00","72,43"
2022,BOLÍVAR_Buenos Aires,23,"15,23","0,67","0,00","74,86"
2022,BOLÍVAR_Buenos Aires,24,"14,19","1,31","0,00","70,71"
2022,BOLÍVAR_Buenos Aires,25,"10,33","-0,13","0,01","74,00"
2022,BOLÍVAR_Buenos Aires,26,"14,57","0,79","0,00","72,14"
2022,BOLÍVAR_Buenos Aires,27,"13,90","2,77","0,04","73,43"
2022,BOLÍVAR_Buenos Aires,28,"13,44","1,66","0,00","72,29"
2022,BOLÍVAR_Buenos Aires,29,"16,69","2,79","0,13","73,00"
2022,BOLÍVAR_Buenos Aires,30,"16,60","6,61","6,86","83,00"
2022,BOLÍVAR_Buenos Aires,31,"15,66","2,93","0,00","77,57"
2022,BOLÍVAR_Buenos Aires,32,"17,59","2,74","0,81","75,86"
2022,BOLÍVAR_Buenos Aires,33,"15,54","3,27","0,71","60,43"
2022,BOLÍVAR_Buenos Aires,34,"19,44","3,96","0,71","63,86"
2022,BOLÍVAR_Buenos Aires,35,"20,61","2,97","0,00","59,71"
2022,BOLÍVAR_Buenos Aires,36,"20,49","3,39","0,00","59,57"
2022,BOLÍVAR_Buenos Aires,37,"23,53","6,80","2,36","61,71"
2022,BOLÍVAR_Buenos Aires,38,"18,59","4,59","0,00","64,00"
2022,BOLÍVAR_Buenos Aires,39,"22,83","4,81","0,00","57,00"
2022,BOLÍVAR_Buenos Aires,40,"21,10","5,90","1,29","62,29"
2022,BOLÍVAR_Buenos Aires,41,"21,76","4,07","0,00","52,57"
2022,BOLÍVAR_Buenos Aires,42,"22,79","7,74","1,86","67,29"
2022,BOLÍVAR_Buenos Aires,43,"23,93","12,17","10,91","67,29"
2022,BOLÍVAR_Buenos Aires,44,"25,16","7,73","0,00","47,14"
2022,BOLÍVAR_Buenos Aires,45,"25,70","13,21","5,69","66,86"
2022,BOLÍVAR_Buenos Aires,46,"27,36","14,00","6,93","68,86"
2022,BOLÍVAR_Buenos Aires,47,"28,20","11,79","0,00","55,86"
2022,BOLÍVAR_Buenos Aires,48,"30,50","14,10","0,16","58,00"
2022,BOLÍVAR_Buenos Aires,49,"34,30","17,21","4,94","49,43"
2022,BOLÍVAR_Buenos Aires,50,"29,34","10,40","0,41","44,14"
2022,BOLÍVAR_Buenos Aires,51,"30,21","14,00","3,91","53,86"
2022,BOLÍVAR_Buenos Aires,52,"32,26","13,38","1,75","47,63"
2022,CAPITAL_Misiones,1,"34,00","21,11","8,57","66,00"
2022,CAPITAL_Misiones,2,"37,90","24,03","0,00","50,43"
2022,CAPITAL_Misiones,3,"40,10","27,99","0,00","46,29"
2022,CAPITAL_Misiones,4,"36,63","24,37","0,43","58,29"
2022,CAPITAL_Misiones,5,"36,40","23,04","3,43","53,57"
2022,CAPITAL_Misiones,6,"33,94","21,31","0,00","51,14"
2022,CAPITAL_Misiones,7,"37,03","21,37","0,13","42,00"
2022,CAPITAL_Misiones,8,"36,50","23,69","15,14","67,29"
2022,CAPITAL_Misiones,9,"35,44","23,93","1,83","72,57"
2022,CAPITAL_Misiones,10,"31,64","21,00","7,34","74,00"
2022,CAPITAL_Misiones,11,"30,49","19,29","0,00","69,29"
2022,CAPITAL_Misiones,12,"26,71","17,83","31,57","78,00"
2022,CAPITAL_Misiones,13,"28,07","15,50","23,57","72,86"
2022,CAPITAL_Misiones,14,"26,90","19,51","29,94","89,00"
2022,CAPITAL_Misiones,15,"24,91","15,30","3,16","74,71"
2022,CAPITAL_Misiones,16,"27,06","16,37","2,93","79,86"
2022,CAPITAL_Misiones,17,"28,50","19,74","2,71","77,57"
2022,CAPITAL_Misiones,18,"22,67","14,09","3,57","84,71"
2022,CAPITAL_Misiones,19,"22,51","14,29","0,93","83,43"
2022,CAPITAL_Misiones,20,"18,53","8,63","0,00","75,86"
2022,CAPITAL_Misiones,21,"23,81","16,37","15,57","85,57"
2022,CAPITAL_Misiones,22,"18,17","8,61","3,46","77,57"
2022,CAPITAL_Misiones,23,"18,14","11,59","2,43","83,29"
2022,CAPITAL_Misiones,24,"21,46","8,71","3,00","76,43"
2022,CAPITAL_Misiones,25,"20,39","14,79","0,91","89,57"
2022,CAPITAL_Misiones,26,"24,26","12,99","0,04","79,29"
2022,CAPITAL_Misiones,27,"28,67","19,83","0,00","63,29"
2022,CAPITAL_Misiones,28,"21,89","12,46","9,43","78,29"
2022,CAPITAL_Misiones,29,"27,14","16,47","1,71","74,14"
2022,CAPITAL_Misiones,30,"26,13","13,66","0,14","72,29"
2022,CAPITAL_Misiones,31,"22,81","14,01","5,64","77,86"
2022,CAPITAL_Misiones,32,"21,69","12,69","1,71","77,86"
2022,CAPITAL_Misiones,33,"22,84","10,91","2,57","66,00"
2022,CAPITAL_Misiones,34,"28,90","15,46","2,00","67,43"
2022,CAPITAL_Misiones,35,"23,81","11,03","4,86","64,29"
2022,CAPITAL_Misiones,36,"25,41","12,39","0,71","68,71"
2022,CAPITAL_Misiones,37,"25,49","12,81","3,29","61,71"
2022,CAPITAL_Misiones,38,"22,83","13,59","1,16","71,71"
2022,CAPITAL_Misiones,39,"24,69","15,70","0,84","73,57"
2022,CAPITAL_Misiones,40,"26,59","14,06","11,63","66,29"
2022,CAPITAL_Misiones,41,"24,06","15,07","4,43","76,00"
2022,CAPITAL_Misiones,42,"27,17","17,61","19,69","75,57"
2022,CAPITAL_Misiones,43,"30,93","18,16","8,29","62,00"
2022,CAPITAL_Misiones,44,"26,14","12,26","0,14","53,14"
2022,CAPITAL_Misiones,45,"28,31","18,06","6,00","63,57"
2022,CAPITAL_Misiones,46,"32,21","18,43","6,71","53,00"
2022,CAPITAL_Misiones,47,"30,63","19,11","2,57","62,71"
2022,CAPITAL_Misiones,48,"33,06","22,60","5,43","66,57"
2022,CAPITAL_Misiones,49,"36,21","25,37","0,00","63,71"
2022,CAPITAL_Misiones,50,"31,66","20,93","5,50","55,43"
2022,CAPITAL_Misiones,51,"34,24","22,77","0,14","56,86"
2022,CAPITAL_Misiones,52,"34,24","21,00","3,00","57,88"
2022,CAPITAL_Tucumán,1,"33,81","21,59","3,14","66,00"
2022,CAPITAL_Tucumán,2,"40,37","24,11","3,00","40,29"
2022,CAPITAL_Tucumán,3,"31,19","21,17","8,24","79,43"
2022,CAPITAL_Tucumán,4,"29,81","20,04","5,79","80,57"
2022,CAPITAL_Tucumán,5,"31,69","19,09","4,86","71,57"
2022,CAPITAL_Tucumán,6,"29,59","17,61","1,57","72,14"
2022,CAPITAL_Tucumán,7,"32,63","19,51","3,57","71,71"
2022,CAPITAL_Tucumán,8,"28,74","19,50","7,27","85,14"
2022,CAPITAL_Tucumán,9,"30,34","20,27","15,14","83,14"
2022,CAPITAL_Tucumán,10,"25,37","17,97","7,43","88,57"
2022,CAPITAL_Tucumán,11,"26,40","16,79","0,71","78,57"
2022,CAPITAL_Tucumán,12,"27,40","14,87","0,86","72,00"
2022,CAPITAL_Tucumán,13,"26,46","11,09","0,00","62,86"
2022,CAPITAL_Tucumán,14,"26,90","17,20","0,00","79,71"
2022,CAPITAL_Tucumán,15,"23,91","14,39","16,57","82,57"
2022,CAPITAL_Tucumán,16,"25,33","13,29","0,00","81,00"
2022,CAPITAL_Tucumán,17,"23,43","14,27","0,14","77,86"
2022,CAPITAL_Tucumán,18,"24,09","10,54","0,00","71,14"
2022,CAPITAL_Tucumán,19,"23,34","13,60","0,04","80,14"
2022,CAPITAL_Tucumán,20,"21,10","6,97","0,00","73,43"
2022,CAPITAL_Tucumán,21,"20,16","9,99","0,09","82,86"
2022,CAPITAL_Tucumán,22,"14,67","6,20","0,00","79,29"
2022,CAPITAL_Tucumán,23,"20,97","8,59","0,19","77,43"
2022,CAPITAL_Tucumán,24,"20,89","5,43","0,00","64,14"
2022,CAPITAL_Tucumán,25,"14,44","6,39","0,09","77,86"
2022,CAPITAL_Tucumán,26,"19,21","6,79","0,04","72,86"
2022,CAPITAL_Tucumán,27,"23,46","7,94","0,00","63,86"
2022,CAPITAL_Tucumán,28,"19,71","3,76","0,29","62,29"
2022,CAPITAL_Tucumán,29,"23,59","8,29","0,00","68,14"
2022,CAPITAL_Tucumán,30,"25,80","10,91","0,93","72,71"
2022,CAPITAL_Tucumán,31,"22,59","8,56","0,43","65,14"
2022,CAPITAL_Tucumán,32,"22,36","6,59","0,00","64,00"
2022,CAPITAL_Tucumán,33,"23,44","6,14","0,00","44,86"
2022,CAPITAL_Tucumán,34,"28,41","10,63","0,00","44,29"
2022,CAPITAL_Tucumán,35,"24,40","7,77","0,00","45,43"
2022,CAPITAL_Tucumán,36,"26,94","7,81","0,00","35,29"
2022,CAPITAL_Tucumán,37,"28,99","9,03","0,00","34,14"
2022,CAPITAL_Tucumán,38,"23,96","9,36","0,17","56,57"
2022,CAPITAL_Tucumán,39,"25,80","12,01","3,71","61,71"
